No.,Time,Source,Destination,Protocol,Length,Info
72,200.426026,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
73,203.718745,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
74,205.305733,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
75,207.593156,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
76,210.994204,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
77,214.718140,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
78,218.939174,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
79,221.188413,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
80,224.340835,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
81,228.312025,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
82,231.292195,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
83,233.832686,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
84,236.646323,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
85,240.771286,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
86,243.192580,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
87,247.172188,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
88,249.735580,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
89,252.533555,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
90,255.283752,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
91,259.051138,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
92,260.027771,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
93,264.364433,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
94,267.838263,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
95,274.210352,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
96,276.919222,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
97,276.920202,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
98,280.652195,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
99,284.194897,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
100,287.200275,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
101,288.871904,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
